EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
4934             17   0.0011152479     0.11992305     0.10786855     0.64728686     0.55123119      0.9986991     0.99852942      1.6114652     0.98543853     0.98422507      0.1266624      0.9982546     0.99810915   0.0027805317     0.98893947     0.55165512      1.0456457     0.99854858
5028             34 -0.00075074268     0.47709559    0.038186119      4.2710005      10.134316     0.99999605     0.99999582      4.3267105     0.99998952     0.99998913      1.3240025     0.99162698     0.99131102  0.00011997852      0.9995202      17.719388      1.9524593     0.99999686
5044             18   -0.017074136     0.86681596     0.85081502  1.260103e-005     0.74307431     0.99076614     0.98965808      4.1489373     0.95139617     0.94765742     0.85081008     0.99076614     0.99005585    0.019388919     0.92536651      3.5530705      1.0473206     0.98959124
5063             17   0.0015384509     0.13977808     0.10953252 4.8138641e-005      0.6529386     0.99283749     0.99190325      1.4863184     0.95999663     0.95666302     0.10953806     0.99283749     0.99224062    0.070496545     0.75393079     0.38282553     0.92050803     0.99377472
5125             22   0.0086378844     0.58776864     0.15592295      4.0644647      4.3113068     0.99997729     0.99997516      4.4214913     0.99960286      0.9995788     0.90350294     0.99019101     0.98959652   0.0004398791     0.99824203      11.715928      1.6762126       0.999474
5209             28   0.0041322366     0.46130121     0.35332312 6.4831048e-006      1.2713049     0.99483548     0.99446658      2.2130766     0.95923141      0.9573352      0.3533335     0.99483548     0.99459526    0.022057372     0.91553764      1.2730572     0.92899911     0.99547322
5353             29  -0.0083356426     0.18817716     0.14877711      1.2224657      2.5239553     0.99990859     0.99990222      1.9124387     0.99883671     0.99878383     0.23350636     0.99948695     0.99946363  8.553828e-006     0.99996579       1.885016      1.4939424     0.99983829
5418             18   -0.012262605     0.35037669     0.32897806  4.098273e-005      1.3823628     0.99799821     0.99775799      2.5416658     0.98762166     0.98666948     0.32897028     0.99799821     0.99784422    0.081387073     0.72161036      1.7086795      1.1822987      0.9970146
5510             48    0.016535783     0.12468435     0.06198645 2.8872382e-005    0.066617351     0.98832039      0.9878532     0.69195035      0.9350466      0.9333373    0.061982771     0.98832035     0.98801299   0.0082499574       0.967538     0.21181631     0.66691292     0.98806731
5542             45   0.0054764949              0  0.00075543959 1.8976794e-005   0.0023869436     0.33666654     0.30823797    0.060780669     0.24617133     0.22493672  0.00076388393     0.33656459     0.31787627     0.50877046     0.10600409   0.0075247586     0.11197068     0.41650068
5544             22    0.013729213     0.52111866     0.27718502      3.0992685      2.6591518     0.99933319     0.99927068      3.7829631     0.99785804     0.99772822     0.80279932     0.99362369     0.99323725   0.0011190607     0.99553376      5.3511613      1.3300383     0.99771666
5578             20   0.0069798033     0.39089202     0.19255926      2.6648634      0.5684912     0.99945245     0.99939379      3.2867903     0.99323133     0.99276453     0.53139482     0.97844939     0.97696314    0.011905027      0.9534938      4.8100379      1.4885838     0.99723004
5698             18   0.0073224132      0.6827956     0.61420773 3.3007892e-005      2.7947552     0.99750088     0.99720099      3.5116787     0.97498513     0.97306091     0.61420439     0.99750088     0.99730864    0.031730102     0.88076624      2.1519571     0.92576336     0.99809049
5711             26   -0.015046461     0.43420957     0.31535072      2.4663284      1.9143064     0.99947784     0.99943661      3.4436108     0.99762563     0.99750387     0.58094751     0.99783482     0.99772378   0.0070279539     0.97227919       5.592301      1.5117949     0.99964679
5783             45   0.0013948134    0.043547434    0.063451071 3.3500708e-005     0.17835208     0.99475344     0.99452858     0.66729892     0.93457346     0.93273046    0.063442781     0.99475338     0.99460558     0.20468354     0.43584694     0.25101771     0.97127186     0.99475124
5803             18    0.036165275     0.39945232     0.28085883 3.3602092e-005     0.53006177     0.97933264     0.97685256      2.1955397     0.92138804     0.91534096     0.28085127     0.97933264     0.97774285    0.060411128     0.78510398     0.71858171     0.64940248     0.99187521
5819             18    0.075875669     0.50793075     0.16358957 4.6711541e-005     0.46107326     0.75353751     0.72396201      1.6417695     0.67781351     0.65302993     0.16359299      0.7535375     0.73457885     0.34801493     0.23392999     0.37161106     0.38532727     0.79412944
5857             23    0.010614004     0.64164987     0.14586545      4.1436353      8.1950687      0.9997632     0.99974167       4.413973     0.99920004     0.99915298       1.135338      0.9714171     0.96973575    0.002640605     0.98949314       14.31704      1.7747846     0.99893411
5869             34   -0.002599394     0.62867374     0.45721211      2.4502914      3.0709827     0.99958247     0.99955838      3.3865207      0.9946979     0.99449782     0.92096179     0.99413902     0.99391785    0.033243888     0.87544358      5.6675745      1.3691707     0.99900739
5962             18    0.011397007     0.36118838    0.049876036      3.4181167      3.9805683     0.99898958     0.99886833      3.5493398     0.99876994     0.99867532      0.6413763     0.96568542     0.96304584   0.0020527621     0.99182256      8.5901257      1.7488659     0.99725668
5965             18    0.016704968    0.029105283  -0.0088653244     0.67512116   0.0053584017     0.75815905     0.72913813     0.55503431     0.74719621     0.72774976    0.016815335     0.66011771     0.63397292    0.011677222     0.95436316    0.039513346     0.28684985     0.56424535
6081             19   -0.027137273     0.64133516     0.58811301     0.95986408      2.6064046     0.99807834     0.99786482      3.7222915     0.98997876     0.98926295     0.62440696     0.99804273     0.99790293     0.12102747     0.61477769      4.1127543      1.2983849     0.99764866
