EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
53           23   -0.0046588     0.315581     0.289344      1.50325     0.523346     0.999414     0.999361      2.63693     0.985859     0.985028     0.413661     0.996611     0.996411    0.0321182     0.879399      2.37468      1.24517     0.999539
73           18   0.00897052     0.342243      0.12957      2.71131      1.86828     0.999825     0.999804      3.17592     0.998681      0.99858      0.44379     0.992371     0.991784   0.00932154     0.963399      3.69229       1.4048     0.998277
85           34  -0.00661798     0.445832     0.391955 1.94893e-005      2.20732     0.998285     0.998186      2.10293     0.984637     0.984057      0.39195     0.998285     0.998221    0.0130666     0.949073      1.57584      1.02635     0.998003
89           348   0.005687735   0.003245111  0.0002231986    0.01764904   0.004941309     0.8805546     0.8799315     0.0271422     0.9789917     0.9789188  0.0007078652     0.8889669     0.8885814     0.1640703     0.5156809   0.006027567     0.5963302       0.77695
152            22   0.001300594   0.003505044   0.000772042 3.845097e-005   0.008124405     0.6963957     0.6679328     0.1046939      0.639216     0.6173503  0.0007700437     0.6961738     0.6777601     0.1285146     0.5963563   0.002569548     0.1844667     0.7230166
162            17    0.01410258     0.5210968     0.3580396      2.106901      2.504695     0.9976305     0.9973215      3.430587     0.9908792     0.9901191     0.5591482     0.9953336     0.9949447   0.001845712     0.9926443      2.613041      1.082815     0.9963608
280            20   0.005468794     0.4106319      0.352134 4.265516e-005      2.339639     0.9935976     0.9929116      2.439134     0.9518022     0.9484782     0.3521322     0.9935976      0.993156      0.161622      0.520895      1.254549     0.9187636     0.9946929
460            18   0.007327255     0.3229399     0.0442697      3.313625      2.720963     0.9999679      0.999964       3.45663      0.999869      0.999859     0.4908288     0.9886572     0.9877847   0.001151972     0.9954027      7.306069      1.708951     0.9992321
471            17    0.06509263     0.3378316     0.1898683 3.200646e-005     0.1711171     0.8949861     0.8812886      1.834248     0.7651628      0.745593     0.1898806     0.8949861     0.8862349     0.3246942     0.2598781     0.4213308      0.443368     0.9461496
543            21   0.001733712     0.3212532     0.2550776 2.093524e-005     0.0170301     0.9607556     0.9568311       1.92488     0.8865015     0.8791791     0.2550831     0.9607556     0.9582237     0.1349851     0.5808537     0.8518502     0.8999956      0.963965
626            34   -0.01573464     0.4726458     0.3389085      2.548404      8.318049     0.9999579     0.9999554      3.322836     0.9991459     0.9991137        0.7443     0.9985708     0.9985169    0.00367525     0.9854065      6.216579      1.531906     0.9999714
731            18    0.03398417     0.1077801    0.01878164 3.492156e-005    0.02817637     0.2185242     0.1247471     0.4148476    0.07009763  -0.001433325    0.01877444     0.2185241     0.1584106     0.0341439      0.872294    0.06860214     0.2054566     0.4162048
733            21     0.0118393     0.1621265    0.08570039      1.697019      1.648243     0.9995184     0.9994702      2.068173     0.9967064     0.9964939     0.2474577     0.9885802     0.9878434   0.003241566     0.9871174      1.417617      1.219214     0.9939409
742            28    0.02591677    0.05987232    0.02758004 3.950707e-005    0.00985439     0.8885993     0.8806421     0.5408089     0.7460434     0.7342314    0.02758116      0.888599     0.8834175     0.1389015     0.5716541    0.08608107     0.3393138     0.9424217
756            21   0.009891554    0.00651041  0.0007815523  3.67115e-005    0.07743834     0.1211532     0.0332685    0.06040296    0.09250431     0.0339562  0.0007962923      0.121138    0.06443723     0.1880322     0.4671123    0.01160797    0.05496591     0.1752226
773            20   -0.03532353     0.7521491     0.9104567      0.477159      0.506063     0.9974504     0.9971772       4.05332     0.9877701     0.9869267     0.9222605     0.9974486     0.9972727   0.002118178     0.9915631      4.940504      1.205431     0.9972073
838            28     0.0612973     0.6805359     0.3565041  7.01166e-005     0.9738694     0.9302508     0.9252687      1.919161     0.8438784     0.8366169     0.3565043     0.9302508     0.9270067     0.2369265     0.3805791     0.9888975     0.6239548     0.9574831
